Contract,Open,Bid,Ask,Last,Traded,High,Low,Volume,Prev.,Day,Settlement,Price,Net,Change,Prev.,Day,Open,Interest
C,Aug-14,-,7600,-,-,-,-,-,-,0,3,432,N/A,0

C,Aug-14,-,7700,-,-,-,-,-,-,0,3,332,N/A,0

C,Aug-14,-,7800,-,-,-,-,-,-,0,3,232,N/A,0

C,Aug-14,-,7900,-,-,-,-,-,-,0,3,132,N/A,0

C,Aug-14,-,8000,-,-,-,-,-,-,0,3,032,N/A,0

C,Aug-14,-,8200,-,-,-,-,-,-,0,2,832,N/A,0

C,Aug-14,-,8400,-,-,-,-,-,-,0,2,632,N/A,0

C,Aug-14,-,8600,-,-,-,-,-,-,0,2,432,N/A,0

C,Aug-14,-,8800,-,-,-,-,-,-,0,2,232,N/A,0

C,Aug-14,-,9000,-,-,-,-,-,-,0,2,032,N/A,0

C,Aug-14,-,9200,-,-,-,-,-,-,0,1,836,N/A,0

C,Aug-14,-,9400,-,-,-,-,-,-,0,1,632,N/A,5

C,Aug-14,-,9600,-,-,-,-,-,-,0,1,432,N/A,5

C,Aug-14,-,9800,-,-,-,-,-,-,0,1,232,N/A,50

C,Aug-14,-,10000,-,-,-,-,-,-,0,1,033,N/A,158

C,Aug-14,-,10200,-,-,-,-,-,-,0,834,N/A,2,034

C,Aug-14,-,10400,548,514,528,548,548,548,1,637,-89,1,596

C,Aug-14,-,10600,-,323,336,-,-,-,0,444,N/A,2,007

C,Aug-14,-,10800,223,161,169,174,223,149,165,265,-91,4,281

C,Aug-14,-,11000,114,60,62,60,116,49,1,866,122,-62,7,635

C,Aug-14,-,11200,40,17,19,19,43,16,1,576,50,-31,6,381

C,Aug-14,-,11400,17,7,8,8,17,7,1,373,19,-11,4,785

C,Aug-14,-,11600,7,3,4,3,7,3,923,8,-5,5,457

C,Aug-14,-,11800,3,1,2,2,3,2,244,3,-1,2,218

C,Aug-14,-,12000,1,-,1,1,1,1,21,2,-1,2,172

C,Aug-14,-,12200,-,-,1,-,-,-,0,1,N/A,360

C,Aug-14,-,12400,-,-,1,-,-,-,0,1,N/A,494

C,Aug-14,-,12600,-,-,1,-,-,-,0,1,N/A,5

C,Aug-14,-,12800,-,-,1,-,-,-,0,1,N/A,0

C,Aug-14,-,13000,-,-,1,-,-,-,0,1,N/A,0

C,Aug-14,-,13200,-,-,1,-,-,-,0,1,N/A,0

C,Aug-14,-,13400,-,-,1,-,-,-,0,1,N/A,0

C,Aug-14,-,13600,-,-,1,-,-,-,0,1,N/A,0

C,Aug-14,-,13800,-,-,1,-,-,-,0,1,N/A,0

C,Aug-14,-,14000,-,-,1,-,-,-,0,1,N/A,0

C,Sep-14,-,6000,-,-,-,-,-,-,0,5,001,N/A,2

C,Sep-14,-,6200,-,-,-,-,-,-,0,4,801,N/A,6

C,Sep-14,-,6400,-,-,-,-,-,-,0,4,601,N/A,0

C,Sep-14,-,6600,-,-,-,-,-,-,0,4,401,N/A,0

C,Sep-14,-,6800,-,-,-,-,-,-,0,4,201,N/A,0

C,Sep-14,-,7000,-,-,-,-,-,-,0,4,001,N/A,0

C,Sep-14,-,7200,-,-,-,-,-,-,0,3,801,N/A,5

C,Sep-14,-,7400,-,-,-,-,-,-,0,3,601,N/A,0

C,Sep-14,-,7500,-,-,-,-,-,-,0,3,501,N/A,0

C,Sep-14,-,7600,-,-,-,-,-,-,0,3,401,N/A,0

C,Sep-14,-,7700,-,-,-,-,-,-,0,3,301,N/A,0

C,Sep-14,-,7800,-,-,-,-,-,-,0,3,201,N/A,0

C,Sep-14,-,7900,-,-,-,-,-,-,0,3,101,N/A,0

C,Sep-14,-,8000,-,-,-,-,-,-,0,3,001,N/A,0

C,Sep-14,-,8200,-,-,-,-,-,-,0,2,801,N/A,0

C,Sep-14,-,8400,-,-,-,-,-,-,0,2,601,N/A,0

C,Sep-14,-,8600,-,-,-,-,-,-,0,2,401,N/A,0

C,Sep-14,-,8800,-,-,-,-,-,-,0,2,201,N/A,5

C,Sep-14,-,9000,-,-,-,-,-,-,0,2,001,N/A,505

C,Sep-14,-,9200,-,-,-,-,-,-,0,1,802,N/A,1,210

C,Sep-14,-,9400,-,-,-,-,-,-,0,1,603,N/A,211

C,Sep-14,-,9600,-,-,-,-,-,-,0,1,406,N/A,2,629

C,Sep-14,-,9800,-,-,-,-,-,-,0,1,211,N/A,2,452

C,Sep-14,-,10000,-,-,-,-,-,-,0,1,023,N/A,4,039

C,Sep-14,-,10200,-,-,-,-,-,-,0,837,N/A,2,290

C,Sep-14,-,10400,595,525,-,555,595,555,2,654,-99,9,698

C,Sep-14,-,10600,-,401,413,-,-,-,0,500,N/A,4,741

C,Sep-14,-,10800,311,279,287,288,313,272,66,359,-71,3,979

C,Sep-14,-,11000,232,184,190,187,232,173,328,248,-61,6,395

C,Sep-14,-,11200,159,118,123,120,161,112,444,163,-43,6,640

C,Sep-14,-,11400,102,73,77,74,102,70,264,105,-31,4,422

C,Sep-14,-,11600,64,45,48,46,64,44,595,67,-21,7,130

C,Sep-14,-,11800,38,27,32,29,38,28,133,41,-12,2,180

C,Sep-14,-,12000,26,16,20,17,26,17,147,26,-9,5,743

C,Sep-14,-,12200,14,-,-,11,14,10,92,15,-4,2,917

C,Sep-14,-,12400,9,-,11,8,9,8,70,9,-1,1,059

C,Sep-14,-,12600,4,1,8,4,4,4,24,5,-1,1,969

C,Sep-14,-,12800,2,1,6,3,3,2,4,3,0,956

C,Sep-14,-,13000,-,1,5,-,-,-,0,2,N/A,15

C,Sep-14,-,13200,-,-,4,-,-,-,0,1,N/A,0

C,Sep-14,-,13400,-,-,3,-,-,-,0,1,N/A,0

C,Sep-14,-,13600,-,-,3,-,-,-,0,1,N/A,0

C,Sep-14,-,13800,-,-,3,-,-,-,0,1,N/A,0

C,Sep-14,-,14000,-,-,2,-,-,-,0,1,N/A,0

C,Oct-14,-,7600,-,-,-,-,-,-,0,3,401,N/A,0

C,Oct-14,-,7700,-,-,-,-,-,-,0,3,301,N/A,0

C,Oct-14,-,7800,-,-,-,-,-,-,0,3,201,N/A,0

C,Oct-14,-,7900,-,-,-,-,-,-,0,3,101,N/A,0

C,Oct-14,-,8000,-,-,-,-,-,-,0,3,001,N/A,0

C,Oct-14,-,8200,-,-,-,-,-,-,0,2,801,N/A,0

C,Oct-14,-,8400,-,-,-,-,-,-,0,2,602,N/A,0

C,Oct-14,-,8600,-,-,-,-,-,-,0,2,402,N/A,0

C,Oct-14,-,8800,-,-,-,-,-,-,0,2,204,N/A,0

C,Oct-14,-,9000,-,-,-,-,-,-,0,2,006,N/A,0

C,Oct-14,-,9200,-,-,-,-,-,-,0,1,809,N/A,0

C,Oct-14,-,9400,-,-,-,-,-,-,0,1,615,N/A,0

C,Oct-14,-,9600,-,-,-,-,-,-,0,1,425,N/A,0

C,Oct-14,-,9800,-,-,-,-,-,-,0,1,239,N/A,0

C,Oct-14,-,10000,-,-,-,-,-,-,0,1,066,N/A,0

C,Oct-14,-,10200,-,-,-,-,-,-,0,893,N/A,0

C,Oct-14,-,10400,-,-,-,-,-,-,0,732,N/A,0

C,Oct-14,-,10600,-,-,-,-,-,-,0,585,N/A,0

C,Oct-14,-,10800,-,373,392,-,-,-,0,456,N/A,0

C,Oct-14,-,11000,277,278,293,277,277,277,5,348,-71,98

C,Oct-14,-,11200,226,203,217,210,226,202,24,260,-50,609

C,Oct-14,-,11400,172,147,157,167,172,166,15,190,-23,2,259

C,Oct-14,-,11600,110,101,115,110,110,110,1,139,-29,3,734

C,Oct-14,-,11800,85,68,-,80,85,80,6,101,-21,71

C,Oct-14,-,12000,63,51,79,57,63,52,177,70,-13,3,936

C,Oct-14,-,12200,45,32,-,39,45,39,12,48,-9,172

C,Oct-14,-,12400,-,24,-,-,-,-,0,33,N/A,210

C,Oct-14,-,12600,-,15,27,-,-,-,0,22,N/A,0

C,Oct-14,-,12800,-,11,21,-,-,-,0,14,N/A,1

C,Oct-14,-,13000,-,7,17,-,-,-,0,9,N/A,0

C,Oct-14,-,13200,-,3,13,-,-,-,0,6,N/A,11

C,Oct-14,-,13400,-,1,11,-,-,-,0,4,N/A,0

C,Oct-14,-,13600,-,-,9,-,-,-,0,3,N/A,0

C,Oct-14,-,13800,-,-,8,-,-,-,0,1,N/A,0

C,Oct-14,-,14000,-,-,7,-,-,-,0,1,N/A,0

C,Oct-14,-,14200,-,-,6,-,-,-,0,1,N/A,0

C,Oct-14,-,14400,-,-,6,-,-,-,0,1,N/A,0

C,Dec-14,-,6000,-,-,-,-,-,-,0,5,018,N/A,39

C,Dec-14,-,6200,-,-,-,-,-,-,0,4,818,N/A,13

C,Dec-14,-,6400,-,-,-,-,-,-,0,4,618,N/A,12

C,Dec-14,-,6600,-,-,-,-,-,-,0,4,418,N/A,15

C,Dec-14,-,6800,-,-,-,-,-,-,0,4,218,N/A,23

C,Dec-14,-,7000,-,-,-,-,-,-,0,4,018,N/A,1

C,Dec-14,-,7200,-,-,-,-,-,-,0,3,818,N/A,0

C,Dec-14,-,7400,-,-,-,-,-,-,0,3,618,N/A,2,200

C,Dec-14,-,7500,-,-,-,-,-,-,0,3,518,N/A,0

C,Dec-14,-,7600,-,-,-,-,-,-,0,3,419,N/A,2,000

C,Dec-14,-,7700,-,-,-,-,-,-,0,3,319,N/A,0

C,Dec-14,-,7800,-,-,-,-,-,-,0,3,219,N/A,152

C,Dec-14,-,7900,-,-,-,-,-,-,0,3,119,N/A,0

C,Dec-14,-,8000,-,-,-,-,-,-,0,3,020,N/A,800

C,Dec-14,-,8200,-,-,-,-,-,-,0,2,821,N/A,0

C,Dec-14,-,8400,-,-,-,-,-,-,0,2,624,N/A,401

C,Dec-14,-,8600,-,-,-,-,-,-,0,2,427,N/A,425

C,Dec-14,-,8800,-,-,-,-,-,-,0,2,233,N/A,1,715

C,Dec-14,-,9000,-,-,-,-,-,-,0,2,041,N/A,567

C,Dec-14,-,9200,-,-,-,-,-,-,0,1,853,N/A,6,595

C,Dec-14,-,9400,-,-,-,-,-,-,0,1,669,N/A,3,264

C,Dec-14,-,9600,-,-,-,-,-,-,0,1,490,N/A,11,415

C,Dec-14,-,9800,-,-,-,-,-,-,0,1,319,N/A,2,693

C,Dec-14,-,10000,-,-,-,-,-,-,0,1,158,N/A,12,149

C,Dec-14,-,10200,-,-,-,-,-,-,0,1,003,N/A,7,376

C,Dec-14,-,10400,-,-,-,-,-,-,0,856,N/A,17,385

C,Dec-14,-,10600,-,-,-,-,-,-,400,722,N/A,10,463

C,Dec-14,-,10800,-,-,-,-,-,-,0,604,N/A,11,792

C,Dec-14,-,11000,-,-,-,-,-,-,0,501,N/A,9,945

C,Dec-14,-,11200,-,330,-,-,-,-,0,409,N/A,9,660

C,Dec-14,-,11400,-,-,-,-,-,-,0,332,N/A,14,913

C,Dec-14,-,11600,225,-,-,225,225,225,1,263,-38,19,696

C,Dec-14,-,11800,-,-,-,-,-,-,0,215,N/A,5,570

C,Dec-14,-,12000,-,-,375,-,-,-,102,167,N/A,20,276

C,Dec-14,-,12200,-,109,-,-,-,-,0,134,N/A,1,105

C,Dec-14,-,12400,-,86,-,-,-,-,0,105,N/A,1,201

C,Dec-14,-,12600,-,67,107,-,-,-,0,83,N/A,14,168

C,Dec-14,-,12800,-,53,-,-,-,-,0,62,N/A,1,932

C,Dec-14,-,13200,40,33,48,40,40,40,2,37,+3,15,223

C,Dec-14,-,13400,-,24,39,-,-,-,0,28,N/A,0

C,Dec-14,-,13600,-,18,33,-,-,-,0,20,N/A,0

C,Dec-14,-,13800,21,-,-,21,21,21,3,15,+6,6,048

C,Dec-14,-,14000,-,-,-,-,-,-,0,11,N/A,100

C,Dec-14,-,14400,-,-,-,-,-,-,0,6,N/A,3,243

C,Dec-14,-,15000,-,3,10,-,-,-,0,3,N/A,1,132

C,Mar-15,-,7000,3,978,-,-,3,978,3,978,3,978,6,4,041,-63,36

C,Mar-15,-,7100,-,-,-,-,-,-,0,3,941,N/A,7

C,Mar-15,-,7200,-,-,-,-,-,-,0,3,842,N/A,0

C,Mar-15,-,7300,-,-,-,-,-,-,0,3,743,N/A,0

C,Mar-15,-,7400,-,-,-,-,-,-,0,3,644,N/A,0

C,Mar-15,-,7500,-,-,-,-,-,-,0,3,545,N/A,0

C,Mar-15,-,7600,-,-,-,-,-,-,0,3,446,N/A,0

C,Mar-15,-,7700,-,-,-,-,-,-,0,3,348,N/A,0

C,Mar-15,-,7800,-,-,-,-,-,-,0,3,250,N/A,0

C,Mar-15,-,7900,-,-,-,-,-,-,0,3,152,N/A,0

C,Mar-15,-,8000,-,-,-,-,-,-,0,3,055,N/A,0

C,Mar-15,-,8200,-,-,-,-,-,-,0,2,862,N/A,0

C,Mar-15,-,8400,-,-,-,-,-,-,0,2,671,N/A,0

C,Mar-15,-,8600,-,-,-,-,-,-,0,2,483,N/A,0

C,Mar-15,-,8800,-,-,-,-,-,-,0,2,299,N/A,0

C,Mar-15,-,9000,-,-,-,-,-,-,0,2,119,N/A,0

C,Mar-15,-,9200,-,-,-,-,-,-,0,1,943,N/A,400

C,Mar-15,-,9400,-,-,-,-,-,-,0,1,773,N/A,200

C,Mar-15,-,9600,-,-,-,-,-,-,0,1,610,N/A,2,605

C,Mar-15,-,9800,-,-,-,-,-,-,0,1,453,N/A,700

C,Mar-15,-,10000,-,-,-,-,-,-,0,1,304,N/A,1,150

C,Mar-15,-,10200,-,-,-,-,-,-,0,1,160,N/A,1,128

C,Mar-15,-,10400,-,-,-,-,-,-,0,1,027,N/A,2,877

C,Mar-15,-,10600,-,-,-,-,-,-,0,903,N/A,209

C,Mar-15,-,10800,-,-,-,-,-,-,0,790,N/A,3,015

C,Mar-15,-,11000,-,-,-,-,-,-,200,688,N/A,3,589

C,Mar-15,-,11200,-,-,-,-,-,-,29,598,N/A,3,255

C,Mar-15,-,11400,-,-,-,-,-,-,0,515,N/A,6,806

C,Mar-15,-,11600,-,-,-,-,-,-,0,445,N/A,2,921

C,Mar-15,-,11800,-,-,-,-,-,-,0,384,N/A,43

C,Mar-15,-,12000,-,-,-,-,-,-,29,330,N/A,5,276

C,Mar-15,-,12200,-,-,-,-,-,-,0,279,N/A,1,000

C,Mar-15,-,12400,-,-,-,-,-,-,0,236,N/A,760

C,Mar-15,-,12600,-,-,-,-,-,-,0,200,N/A,0

C,Mar-15,-,13400,-,-,-,-,-,-,0,98,N/A,0

C,Jun-15,-,7000,-,-,-,-,-,-,0,3,758,N/A,26

C,Jun-15,-,7200,-,-,-,-,-,-,0,3,563,N/A,4

C,Jun-15,-,7400,-,-,-,-,-,-,0,3,369,N/A,3

C,Jun-15,-,7600,-,-,-,-,-,-,0,3,178,N/A,1,002

C,Jun-15,-,7700,-,-,-,-,-,-,0,3,083,N/A,0

C,Jun-15,-,7800,-,-,-,-,-,-,0,2,989,N/A,5

C,Jun-15,-,7900,-,-,-,-,-,-,0,2,896,N/A,0

C,Jun-15,-,8000,-,-,-,-,-,-,0,2,803,N/A,3,505

C,Jun-15,-,8200,-,-,-,-,-,-,0,2,621,N/A,0

C,Jun-15,-,8400,-,-,-,-,-,-,0,2,442,N/A,0

C,Jun-15,-,8600,-,-,-,-,-,-,0,2,268,N/A,0

C,Jun-15,-,8800,-,-,-,-,-,-,0,2,099,N/A,1,400

C,Jun-15,-,9000,-,-,-,-,-,-,0,1,936,N/A,0

C,Jun-15,-,9200,-,-,-,-,-,-,0,1,778,N/A,2,500

C,Jun-15,-,9400,-,-,-,-,-,-,0,1,627,N/A,0

C,Jun-15,-,9600,-,-,-,-,-,-,0,1,483,N/A,4,125

C,Jun-15,-,9800,-,-,-,-,-,-,0,1,346,N/A,0

C,Jun-15,-,10000,-,-,-,-,-,-,0,1,236,N/A,1,930

C,Jun-15,-,10200,-,-,-,-,-,-,0,1,107,N/A,0

C,Jun-15,-,10400,-,-,-,-,-,-,0,996,N/A,1,205

C,Jun-15,-,10600,-,-,-,-,-,-,0,886,N/A,250

C,Jun-15,-,10800,-,-,-,-,-,-,0,791,N/A,1,746

C,Jun-15,-,11000,-,-,-,-,-,-,0,700,N/A,4,055

C,Jun-15,-,11200,-,-,-,-,-,-,0,624,N/A,4,240

C,Jun-15,-,11400,-,-,-,-,-,-,0,548,N/A,125

C,Jun-15,-,11600,-,-,-,-,-,-,0,482,N/A,4,951

C,Jun-15,-,11800,-,-,-,-,-,-,0,421,N/A,0

C,Jun-15,-,12000,-,-,-,-,-,-,0,366,N/A,7,757

C,Jun-15,-,12200,-,-,-,-,-,-,0,307,N/A,76

C,Jun-15,-,12400,-,-,-,-,-,-,0,265,N/A,50

C,Jun-15,-,12600,-,-,-,-,-,-,0,228,N/A,4,203

C,Jun-15,-,12800,-,-,-,-,-,-,0,195,N/A,10

C,Jun-15,-,13000,-,-,-,-,-,-,0,166,N/A,0

C,Jun-15,-,13200,-,-,-,-,-,-,0,141,N/A,2

C,Jun-15,-,13400,-,-,-,-,-,-,0,120,N/A,0

C,Jun-15,-,13600,-,-,-,-,-,-,0,101,N/A,0

C,Jun-15,-,13800,-,-,-,-,-,-,0,85,N/A,3,925

C,Jun-15,-,14000,-,-,-,-,-,-,0,71,N/A,1

C,Jun-15,-,14400,-,-,-,-,-,-,0,49,N/A,130

C,Jun-15,-,15000,-,-,-,-,-,-,0,28,N/A,79

C,Dec-15,-,6200,-,-,-,-,-,-,0,4,541,N/A,28

C,Dec-15,-,7000,-,-,-,-,-,-,0,3,777,N/A,4

C,Dec-15,-,7200,-,-,-,-,-,-,0,3,591,N/A,2

C,Dec-15,-,7400,-,-,-,-,-,-,0,3,409,N/A,0

C,Dec-15,-,7600,-,-,-,-,-,-,0,3,229,N/A,0

C,Dec-15,-,7800,-,-,-,-,-,-,0,3,053,N/A,0

C,Dec-15,-,8000,-,-,-,-,-,-,0,2,881,N/A,1,900

C,Dec-15,-,8400,-,-,-,-,-,-,0,2,549,N/A,2,857

C,Dec-15,-,8800,-,-,-,-,-,-,0,2,237,N/A,2,475

C,Dec-15,-,9200,-,-,-,-,-,-,0,1,945,N/A,4,821

C,Dec-15,-,9600,-,-,-,-,-,-,0,1,667,N/A,3,175

C,Dec-15,-,10000,-,-,-,-,-,-,0,1,417,N/A,8,740

C,Dec-15,-,10400,-,-,-,-,-,-,0,1,195,N/A,4,315

C,Dec-15,-,10800,-,-,-,-,-,-,0,1,003,N/A,7,875

C,Dec-15,-,11200,-,-,-,-,-,-,0,840,N/A,3,382

C,Dec-15,-,11600,-,-,-,-,-,-,0,703,N/A,3,350

C,Dec-15,-,12000,-,501,-,-,-,-,0,589,N/A,10,231

C,Dec-15,-,12600,-,-,-,-,-,-,0,451,N/A,5,850

C,Dec-15,-,13200,-,-,-,-,-,-,0,348,N/A,5,642

C,Dec-15,-,13800,-,-,-,-,-,-,0,260,N/A,450

C,Dec-15,-,14400,-,-,-,-,-,-,0,189,N/A,1,786

C,Dec-15,-,15000,-,-,-,-,-,-,0,140,N/A,10

C,Jun-16,-,6000,-,-,-,-,-,-,0,4,588,N/A,0

C,Jun-16,-,6200,-,-,-,-,-,-,0,4,398,N/A,0

C,Jun-16,-,6400,-,-,-,-,-,-,0,4,211,N/A,0

C,Jun-16,-,6600,-,-,-,-,-,-,0,4,026,N/A,0

C,Jun-16,-,6800,-,-,-,-,-,-,0,3,844,N/A,0

C,Jun-16,-,7000,-,-,-,-,-,-,0,3,666,N/A,0

C,Jun-16,-,7200,-,-,-,-,-,-,0,3,490,N/A,0

C,Jun-16,-,7400,-,-,-,-,-,-,0,3,318,N/A,0

C,Jun-16,-,7600,-,-,-,-,-,-,0,3,150,N/A,0

C,Jun-16,-,7800,-,-,-,-,-,-,0,2,986,N/A,1

C,Jun-16,-,8000,-,-,-,-,-,-,0,2,826,N/A,0

C,Jun-16,-,8400,-,-,-,-,-,-,0,2,520,N/A,1,900

C,Jun-16,-,8800,-,-,-,-,-,-,0,2,233,N/A,0

C,Jun-16,-,9200,-,-,-,-,-,-,0,1,942,N/A,1,950

C,Jun-16,-,9600,-,-,-,-,-,-,0,1,720,N/A,2,200

C,Jun-16,-,10000,-,-,-,-,-,-,0,1,464,N/A,2,337

C,Jun-16,-,10400,-,-,-,-,-,-,0,1,264,N/A,2,100

C,Jun-16,-,10800,-,-,-,-,-,-,500,1,090,N/A,100

C,Jun-16,-,11200,-,-,-,-,-,-,0,947,N/A,4,050

C,Jun-16,-,11600,-,-,-,-,-,-,0,821,N/A,1,800

C,Jun-16,-,12000,-,-,-,-,-,-,0,711,N/A,1,800

C,Jun-16,-,12600,-,-,-,-,-,-,0,572,N/A,3,100

C,Jun-16,-,13200,-,-,-,-,-,-,0,461,N/A,3,150

C,Jun-16,-,13800,-,-,-,-,-,-,0,377,N/A,0

C,Dec-16,-,7400,-,-,-,-,-,-,0,3,396,N/A,0

C,Dec-16,-,7800,-,-,-,-,-,-,0,3,080,N/A,0

C,Dec-16,-,8000,-,-,-,-,-,-,0,2,928,N/A,0

C,Dec-16,-,8400,-,-,-,-,-,-,0,2,637,N/A,0

C,Dec-16,-,8800,-,-,-,-,-,-,0,2,364,N/A,0

C,Dec-16,-,9200,-,-,-,-,-,-,0,2,109,N/A,0

C,Dec-16,-,9600,-,-,-,-,-,-,0,1,873,N/A,0

C,Dec-16,-,10000,-,-,-,-,-,-,0,1,618,N/A,125

C,Dec-16,-,10400,-,-,-,-,-,-,0,1,424,N/A,100

C,Dec-16,-,10800,-,-,-,-,-,-,0,1,254,N/A,550

C,Dec-16,-,11200,-,-,-,-,-,-,0,1,107,N/A,925

C,Dec-16,-,11600,-,-,-,-,-,-,0,979,N/A,200

